model,total_tests,successful_tests,avg_score,quality_tier,total_cost,cost_per_test,traditional_effectiveness,quality_weighted_effectiveness,meets_threshold,cost_efficiency_tier
gpt-5,211,205,0.39454976303317535,below_standards,1.665594,0.008124848780487805,49.982168523661834,57.21682474840809,False,Below Quality Standards
claude-opus-4,211,211,0.7273696682464454,minimum_viable,22.129875,0.1048809241706161,6.935195070012822,7.338496037596237,True,Specialized Use Case
gemini-2.5-flash,211,20,0.05501579778830964,below_standards,0.0027903,0.000139515,4160.245612777598,4515.643479195786,False,Below Quality Standards
grok-4,211,211,0.4218009478672986,below_standards,1.672194,0.007925090047393364,53.22348961902746,62.91136076316506,False,Below Quality Standards
grok-3,422,422,0.6567535545023696,below_standards,5.100453,0.012086381516587677,54.338310734360256,58.46539513255001,False,Specialized Use Case
deepseek-reasoner,211,211,0.2947077409162717,below_standards,0.28907415999999997,0.0013700197156398103,215.1120436822625,294.38812517867393,False,Below Quality Standards
deepseek-chat,422,422,0.4703593996840443,below_standards,0.03106516,7.361412322274882e-05,6389.526616526896,7136.612204797914,False,Below Quality Standards
gpt-4o,211,211,0.663783570300158,below_standards,1.48658,0.007045402843601896,94.21513361765484,100.23005825451708,False,Specialized Use Case
claude-sonnet-4,211,211,0.7136848341232228,minimum_viable,4.458165,0.021128744075829386,33.77791086691497,35.53031348099498,True,Specialized Use Case
gemini-2.0-flash,0,0,0.0,below_standards,0.0,0.0,0.0,0.0,False,Below Quality Standards
grok-3,422,422,0.6567535545023696,below_standards,5.100453,0.012086381516587677,54.338310734360256,58.46539513255001,False,Specialized Use Case
deepseek-chat,422,422,0.4703593996840443,below_standards,0.03106516,7.361412322274882e-05,6389.526616526896,7136.612204797914,False,Below Quality Standards
gpt-5-mini,211,211,0.5197867298578199,below_standards,0.457135,0.0021665165876777253,239.91818609382346,266.6608332330712,False,Below Quality Standards
gpt-4o-mini,211,211,0.6617101105845182,below_standards,0.1104498,0.0005234587677725119,1264.1112372619352,1350.8399290899576,False,Budget Option (Cost-Conscious)
gemini-2.5-flash-lite,211,211,0.7132898894154818,minimum_viable,0.06838657499999999,0.00032410699052132696,2200.7852662114847,2327.9422898427074,True,Minimum Viable (Balanced Performance)
gemini-2.0-flash-lite,211,1,0.002843601895734597,below_standards,0.00032073749999999993,0.00032073749999999993,1870.6886472582723,2182.470088467984,False,Below Quality Standards
grok-3-mini,211,211,0.17511848341232228,below_standards,0.0291037,0.00013793222748815167,1269.59802361899,2137.18530633562,False,Below Quality Standards
grok-code-fast-1,211,211,0.42731042654028434,below_standards,0.1301284,0.0006167222748815166,692.8733466330178,813.8115891688517,False,Below Quality Standards
